"Save Price Notification","Save Price Notification"
Delete,Delete
"Save and Continue Edit","Save and Continue Edit"
"Edit category '%1'","Edit category '%1'"
"New Category","New Category"
"General Information","General Information"
Product,Product
"Select Product...","Select Product..."
Customer,Customer
"Select Customer...","Select Customer..."
"Subscriber Email","Subscriber Email"
"Subscriber Name","Subscriber Name"
Email,Email
Message,Message
"Subscribed On","Subscribed On"
"Send Count","Send Count"
Website,Website
Status,Status
Enabled,Enabled
Disabled,Disabled
General,General
Information,Information
"Save Stock Notification","Save Stock Notification"
"You saved the alert subscription.","You saved the alert subscription."
"There are not enough parameters.","There are not enough parameters."
"We can't update the alert subscription right now.","We can't update the alert subscription right now."
"Alert subscription has been saved.","Alert subscription has been saved."
"The price subscription has been deleted.","The price subscription has been deleted."
"We can't find a price subscription to delete.","We can't find a price subscription to delete."
"Price Notification","Price Notification"
"This price subscription no longer exists.","This price subscription no longer exists."
"Edit Out of Price Subscription","Edit Out of Price Subscription"
"New Price Subscription","New Price Subscription"
"Price Subscriptions","Price Subscriptions"
"Price Subscription","Price Subscription"
"Price Notifications","Price Notifications"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Please select a product.","Please select a product."
"You saved the price subscription.","You saved the price subscription."
Report,Report
"Product Notification","Product Notification"
"The out of stock notification has been deleted.","The out of stock notification has been deleted."
"We can't find a stock notification to delete.","We can't find a stock notification to delete."
CMS,CMS
"Manage Out of Stock Notifications","Manage Out of Stock Notifications"
"Manage Stock Notifications","Manage Stock Notifications"
"This stock notification no longer exists.","This stock notification no longer exists."
"Edit Out of Stock Notification","Edit Out of Stock Notification"
"New Stock Notification","New Stock Notification"
"Stock Notifications","Stock Notifications"
"Stock Notification","Stock Notification"
"roduct Notification","roduct Notification"
"You saved the stock notification.","You saved the stock notification."
"The subscription has been deleted.","The subscription has been deleted."
"My Price Subscriptions","My Price Subscriptions"
"My Out of Stock Subscriptions","My Out of Stock Subscriptions"
"The link is invalid.","The link is invalid."
"You will no longer receive price alert for this product","You will no longer receive price alert for this product"
"The product was not found.","The product was not found."
"You will no longer receive price alerts.","You will no longer receive price alerts."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"You will no longer receive stock alert for this product","You will no longer receive stock alert for this product"
"You will no longer receive stock alerts.","You will no longer receive stock alerts."
"Invalid block type: %1","Invalid block type: %1"
"We can't save the cron expression.","We can't save the cron expression."
"You are already subscribed to this product.","You are already subscribed to this product."
Edit,Edit
"Product Image","Product Image"
"Product Name","Product Name"
SKU,SKU
Actions,Actions
"There are no subscriptions yet.","There are no subscriptions yet."
"Price change alert! We wanted you to know that prices have changed for these products:","Price change alert! We wanted you to know that prices have changed for these products:"
Price:,Price:
"Click here to stop alerts for this product.","Click here to stop alerts for this product."
"Unsubscribe from this price alert","Unsubscribe from this price alert"
"Unsubscribe from all price alerts","Unsubscribe from all price alerts"
"In stock alert! We wanted you to know that these products are now available:","In stock alert! We wanted you to know that these products are now available:"
"Unsubscribe from this stock alert","Unsubscribe from this stock alert"
"Unsubscribe from all stock alerts","Unsubscribe from all stock alerts"
"Notify me when the price drops","Notify me when the price drops"
"Email Address","Email Address"
Name,Name
Subscribe,Subscribe
"Notify me when this product is in stock","Notify me when this product is in stock"
"%1 Item(s)","%1 Item(s)"
"Products price changed alert","Products price changed alert"
"%name,","%name,"
"Products back in stock alert","Products back in stock alert"
"General Settings","General Settings"
"Product Alerts","Product Alerts"
"Alert Email Sender","Alert Email Sender"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Disable Subscrible for Guest","Disable Subscrible for Guest"
"Price Alert Email Template","Price Alert Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Allow Alert When Product Comes Back in Stock","Allow Alert When Product Comes Back in Stock"
"Stock Alert Email Template","Stock Alert Email Template"
"Product Alerts Run Settings","Product Alerts Run Settings"
Frequency,Frequency
"Start Time","Start Time"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"Add New Price Notification","Add New Price Notification"
"Store View","Store View"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
"Product SKU","Product SKU"
"Add Date","Add Date"
"Subscribed to Price Changed","Subscribed to Price Changed"
"Subscribed to Stock Changed","Subscribed to Stock Changed"
"Add New Stock Notification","Add New Stock Notification"
